function,func_id,dim,f_star,n_runs,error_min,error_median,error_mean,error_max,eps_in,margin,eps_source,r_geo,K_1_success,K_1_tau_med,K_1_N_med,K_1_n_in_med,K_1_err_best_tau_med,K_1_depth_into_Ain_med,K_1_gap_med,K_1_gap_q80,K_1_gap_le_5,K_1_gap_le_10,K_1_r80,K_1_tight,K_1_beta_r,K_5_success,K_5_tau_med,K_5_N_med,K_5_n_in_med,K_5_err_best_tau_med,K_5_depth_into_Ain_med,K_5_gap_med,K_5_gap_q80,K_5_gap_le_5,K_5_gap_le_10,K_5_r80,K_5_tight,K_5_beta_r,K_10pctN_success,K_10pctN_tau_med,K_10pctN_N_med,K_10pctN_n_in_med,K_10pctN_err_best_tau_med,K_10pctN_depth_into_Ain_med,K_10pctN_gap_med,K_10pctN_gap_q80,K_10pctN_gap_le_5,K_10pctN_gap_le_10,K_10pctN_r80,K_10pctN_tight,K_10pctN_beta_r,K_25pctN_success,K_25pctN_tau_med,K_25pctN_N_med,K_25pctN_n_in_med,K_25pctN_err_best_tau_med,K_25pctN_depth_into_Ain_med,K_25pctN_gap_med,K_25pctN_gap_q80,K_25pctN_gap_le_5,K_25pctN_gap_le_10,K_25pctN_r80,K_25pctN_tight,K_25pctN_beta_r
cec2017_f1,1,10,100.0,51,0.0,0.0,0.0,0.0,5.0,5.0,median(final_error)+margin,5.0,51,191.0,128.0,1.0,4.104997919280308,0.8950020807196921,15.280478137499799,24.11628677599521,0.07086614173228346,0.25196850393700787,1.9946921465940142,0.5129318828574105,1.0,51,196.0,127.0,6.0,2.8409451107146566,2.1590548892853434,7.4550736884292945,12.680427364863519,0.3008130081300813,0.6694915254237288,1.4870090866075374,0.5261065008779868,1.0,51,199.0,127.0,15.0,2.2149108125670836,2.7850891874329164,4.607906502625909,8.344126417264771,0.5504587155963303,0.875,1.2809120514710493,0.5242672932842205,1.0,51,201.0,126.0,37.0,1.5297672779345817,3.4702327220654183,2.8205577918904794,5.595312872481133,0.7526881720430108,0.967391304347826,1.1149010734475095,0.5319159795761514,1.0
cec2017_f2,2,10,200.0,51,0.0,0.0,0.0,0.0,5.0,5.0,median(final_error)+margin,5.0,51,109.0,148.0,1.0,3.706730251185661,1.293269748814339,45.414548462475054,79.33144540940133,0.02040816326530612,0.047619047619047616,35.941464574440204,0.5440741125345308,0.08,51,114.0,147.0,6.0,1.5134359187383097,3.4865640812616903,16.904874695119133,33.09637460871525,0.12056737588652482,0.2916666666666667,16.490385522901633,0.5163530764103779,0.24324324324324326,51,117.0,146.0,17.0,1.1238091854824006,3.8761908145175994,8.472475610906244,16.884226628816645,0.2903225806451613,0.5714285714285714,10.947968183852502,0.5262303207745999,0.42,51,120.0,145.0,41.0,0.6218090493303521,4.378190950669648,4.564373306210058,9.70897138681645,0.5428571428571428,0.8076923076923077,7.405116818902969,0.5352078515986155,0.6206896551724138
cec2017_f3,3,10,300.0,51,0.0,0.0,0.0,0.0,5.0,5.0,median(final_error)+margin,5.0,51,107.0,149.0,1.0,4.213654769593234,0.7863452304067664,16.339612175153775,25.677022131448417,0.0738255033557047,0.2671232876712329,5.371724347648822,0.8237375550576636,0.7066666666666667,51,111.0,148.0,6.0,3.025404925543967,1.9745950744560332,8.512912747865869,14.31891242412371,0.2553191489361702,0.589041095890411,4.298911125852494,0.8148210623483779,0.9256756756756757,51,113.0,147.0,18.0,1.9078991471756126,3.0921008528243874,4.825521109703857,8.919485655389167,0.515625,0.8503937007874016,3.5509197427839716,0.8231204387069272,0.9931506849315068,51,116.0,146.0,43.0,1.3739670055591091,3.626032994440891,2.7711315666330734,5.64477440933706,0.7604166666666666,0.9615384615384616,3.0226128226860642,0.8219793352140485,1.0
cec2017_f4,4,10,400.0,51,0.0,0.0,0.0,0.0,5.0,5.0,median(final_error)+margin,5.0,51,86.0,154.0,1.0,4.940762517689109,0.05923748231089121,0.54058454944294,0.7473863122441005,1.0,1.0,13.121256131912547,0.6787072225943579,0.1858974358974359,51,88.0,154.0,7.0,4.840582983130446,0.15941701686955412,0.38499975122647356,0.5777059683250059,1.0,1.0,12.1458826156306,0.6783037397286328,0.20261437908496732,51,90.0,153.0,23.0,4.7105690631790935,0.2894309368209065,0.26082247978911255,0.4356084357012264,1.0,1.0,11.672197354615909,0.6626777679044702,0.22727272727272727,51,91.0,153.0,47.0,4.590408523488293,0.40959147651170724,0.19442453561342177,0.3421459633060067,1.0,1.0,10.38329493197987,0.6566104599797488,0.3246753246753247
cec2017_f5,5,10,500.0,51,0.9954569388921186,2.9856618789904132,2.9083341929102087,4.975225858799945,7.985661878990413,5.0,median(final_error)+margin,5.0,51,362.0,95.0,1.0,7.538455042061855,0.447206836928558,11.530893910369286,16.452605934270697,0.10638297872340426,0.39361702127659576,79.86210901103026,0.8416534911678093,0.010526315789473684,51,459.0,80.0,5.0,5.702285181061484,2.2833766979289294,6.567187875266143,9.737397934158162,0.34146341463414637,0.8082191780821918,74.70242685837,0.8471814397720483,0.0125,51,487.0,76.0,8.0,5.078412586277636,2.907249292712777,5.394137060934554,8.13639822947789,0.44776119402985076,0.9305555555555556,73.22196487676678,0.8526874175207114,0.013157894736842105,51,590.0,64.0,16.0,3.7676080649530945,4.218053814037319,3.1236201442179663,5.077907320117834,0.7884615384615384,1.0,69.2082146625078,0.8672245139067718,0.015625
cec2017_f6,6,10,600.0,51,0.0,1.1368683772161603e-13,2.7865241338754547e-08,1.4211235566108371e-06,5.000000000000114,5.0,median(final_error)+margin,5.0,51,73.0,158.0,1.0,4.631539179721699,0.36846082027841476,6.377446252390996,8.97691905454276,0.31645569620253167,0.8717948717948718,25.530187339334166,0.757204711163875,0.006329113924050633,51,80.0,156.0,6.0,3.8141629441021223,1.1858370558979914,3.8304167921707517,5.730999288464432,0.7066666666666667,1.0,19.631281923792237,0.7524885636512464,0.00641025641025641,51,86.0,154.0,17.0,3.0566778659158444,1.9433221340842692,2.245116470281289,3.652955074571469,0.9338235294117647,1.0,16.038656657444943,0.7515193208466558,0.006535947712418301,51,90.0,153.0,42.0,2.60951527790246,2.3904847220976535,1.3741078515418508,2.5242163237163595,0.9910714285714286,1.0,13.590713457931408,0.7483037167469548,0.025974025974025976
cec2017_f7,7,10,700.0,51,10.598069322027982,12.365563133260139,12.269438656624613,14.643115923324899,17.36556313326014,5.0,median(final_error)+margin,5.0,51,383.0,92.0,1.0,16.92081009265405,0.4447530406060878,12.917809943935424,18.23844695881928,0.09090909090909091,0.2736842105263158,24.76822942201034,0.8365760667107992,0.011111111111111112,51,483.0,77.0,5.0,15.22829930251362,2.1372638307465195,7.085907657189296,10.962291261626799,0.3246753246753247,0.71875,23.410442768301433,0.8503743295848959,0.013157894736842105,51,513.0,73.0,8.0,14.67748725344029,2.6880758798198485,5.741074990980906,9.068123763356448,0.42857142857142855,0.8611111111111112,22.853486506672503,0.8558504645702526,0.0136986301369863,51,591.0,63.0,16.0,13.481984364734103,3.8835787685260357,3.235958181829858,5.593114596878104,0.725,1.0,21.652428259796938,0.8567610897320974,0.016129032258064516
cec2017_f8,8,10,800.0,51,0.9965607469414408,2.9851500088078637,2.6749559718599807,4.975013715604291,7.985150008807864,5.0,median(final_error)+margin,5.0,51,353.0,96.0,1.0,7.479236234656469,0.505913774151395,13.496634364854458,18.829181567508634,0.07142857142857142,0.2857142857142857,77.79544234941545,0.8273337272004364,0.010416666666666666,51,461.0,80.0,5.0,5.294690439134456,2.6904595696734077,6.894599777681606,10.568772825125984,0.3287671232876712,0.7532467532467533,72.0223473332749,0.8397611606131805,0.012658227848101266,51,504.0,74.0,8.0,4.646734340573062,3.338415668234802,5.684795384833137,8.935702975417962,0.4444444444444444,0.8695652173913043,71.93612519412055,0.8405621432355165,0.0136986301369863,51,598.0,63.0,16.0,3.4114190377807745,4.573730971027089,3.320430648871252,5.432831416149544,0.725,1.0,67.6512222926718,0.848391644702378,0.015873015873015872
cec2017_f9,9,10,900.0,51,0.0,0.0,0.0,0.0,5.0,5.0,median(final_error)+margin,5.0,51,87.0,154.0,1.0,3.7619483018936535,1.2380516981063465,18.931852663658105,28.750526832447214,0.058823529411764705,0.19480519480519481,13.070684820519652,0.789102102069669,0.012987012987012988,51,91.0,153.0,6.0,2.798887367620978,2.201112632379022,10.43016800268083,17.510151029086842,0.2054794520547945,0.48322147651006714,10.871843105957575,0.789923722873713,0.0392156862745098,51,95.0,152.0,18.0,2.130268877999697,2.869731122000303,6.016383988081657,11.085025793171626,0.42105263157894735,0.7555555555555555,8.959620832570469,0.7862554966241844,0.13157894736842105,51,99.0,151.0,42.0,1.8086464567119265,3.1913535432880735,3.5789235764320324,7.221224210644095,0.638095238095238,0.9074074074074074,7.694720521454568,0.7932605430622068,0.22
cec2017_f10,10,10,1000.0,51,0.4785396514898821,15.2022894628235,31.94269164236943,137.0656724753353,20.2022894628235,5.0,median(final_error)+margin,5.0,36,802.0,44.0,1.0,18.745646155773557,1.4566433070499443,352.3965881464735,444.74640240887214,0.0,0.0,177.1441919810357,0.8110771942275268,0.022727272727272728,2,1095.0,26.0,5.0,7.732333477712473,12.469955985111028,217.08949265897718,286.3678040356719,0.02631578947368421,0.06979405034324943,141.75184183900652,0.7727514650640417,0.03869047619047619,36,1274.0,19.0,2.0,13.189579652162138,7.012709810661363,214.31339548443384,244.4232093083251,0.0,0.0,165.40424053695156,0.8095760438979887,0.05277777777777778,36,1732.0,8.0,2.0,10.476307426240965,9.725982036582536,119.99760167773502,130.10709348283922,0.0,0.0,148.55119361159558,0.831984027728676,0.125
cec2017_f11,11,10,1100.0,51,0.0,0.0,0.5064681765109428,2.0870156912169477,5.0,5.0,median(final_error)+margin,5.0,51,203.0,126.0,1.0,4.742326629082527,0.2576733709174732,7.422285242480029,10.884268852938341,0.2578125,0.7265625,33.47555818223342,0.7625760579318852,0.008849557522123894,51,257.0,114.0,5.0,3.7824439232101668,1.2175560767898332,3.8996112226789137,6.137979021943875,0.6697247706422018,1.0,30.31504680965553,0.7709794215468296,0.025210084033613446,51,293.0,107.0,11.0,3.36726807823743,1.63273192176257,2.696713843316047,4.349538740509934,0.8762886597938144,1.0,27.70806415553859,0.7775510939046179,0.03636363636363636,51,337.0,99.0,25.0,2.8534394507132674,2.1465605492867326,1.6268549789662075,3.0018250341946446,1.0,1.0,26.05868214960694,0.783230189973871,0.05263157894736842
cec2017_f12,12,10,1200.0,51,3.818269851763034e-05,11.172993266873164,53.439096855520376,237.08485039621996,16.172993266873164,5.0,median(final_error)+margin,5.0,30,350.0,97.0,1.0,13.610145156445242,2.5628481104279217,44.335273050391834,71.1813412537352,0.010710194730813288,0.041156606162937946,22.160231364422934,0.7487969752463419,0.2268944647585424,30,381.5,92.0,5.0,9.706371609281632,6.466621657591531,25.76717275101271,46.93802670965195,0.06795444051100508,0.15651610514624215,21.942096379192947,0.7278240978488137,0.3763541059988352,30,389.5,90.5,10.0,8.559955324018006,7.613037942855158,18.781071613025176,38.8730752685193,0.1326331216414265,0.2737203495630462,21.834741222709773,0.7179026979949477,0.41468875951634576,30,406.5,87.5,22.5,5.936147263093744,10.23684600377942,12.077615694112524,23.76240660760143,0.2227307398932113,0.4345760233918129,19.191700296803116,0.7053595733956157,0.4627617698000315
cec2017_f13,13,10,1300.0,51,0.0,5.951113475483453,3.9173721069606007,6.508101829928137,10.951113475483453,5.0,median(final_error)+margin,5.0,51,272.0,111.0,1.0,10.549729089420453,0.4013843860630004,10.716365493351532,14.999620013059257,0.1111111111111111,0.452991452991453,26.995361563346957,0.759067765140122,0.009174311926605505,51,336.0,99.0,5.0,8.951762619905367,1.9993508555780863,5.55013144344548,8.309186857292346,0.4367816091954023,0.8865979381443299,23.402521171942148,0.7309147087158636,0.010752688172043012,51,371.0,93.0,10.0,8.534483812154349,2.416629663329104,4.170489262987076,6.033466846760257,0.6588235294117647,1.0,23.290102872334906,0.7290907495644783,0.014084507042253521,51,429.0,84.0,21.0,8.252326555936179,2.698786919547274,2.2707866589476,3.616029636690747,0.953125,1.0,21.572288515586752,0.7289660649905724,0.02564102564102564
cec2017_f14,14,10,1400.0,51,0.0,0.02734450920524978,0.582509688086136,20.00667882244852,5.02734450920525,5.0,median(final_error)+margin,5.0,50,518.0,72.0,1.0,4.716298458227357,0.3110460509778932,7.225375574724012,10.875809248169027,0.29785247432306255,0.74486105824134,33.996413616524855,0.7145634442043802,0.09014492753623188,50,576.0,65.5,5.0,3.2503889902468472,1.7769555189584025,3.8414675106753293,6.207094253097899,0.666564039408867,1.0,33.124123883510435,0.7187472397378841,0.0901702786377709,50,586.0,64.0,7.0,2.8958876515877137,2.131456857617536,3.269699268946624,5.267365289182113,0.7636363636363637,1.0,32.15720928446074,0.7106183731362095,0.12756539235412476,50,607.0,62.0,16.0,2.246822537779053,2.7805219714261966,2.200697175378764,3.991291179904465,0.8998397435897436,1.0,32.4777249662247,0.7395057788740927,0.12777777777777777
cec2017_f15,15,10,1500.0,51,0.00013035299593866512,0.03015989111941053,0.16285412959868886,0.4999999968881639,5.0301598911194105,5.0,median(final_error)+margin,5.0,51,159.0,136.0,1.0,4.339051918954283,0.6911079721651276,10.34823241299739,15.10039663240882,0.145985401459854,0.47794117647058826,43.68157615157727,0.7770167736493575,0.007352941176470588,51,194.0,128.0,5.0,3.1730375238114448,1.8571223673079658,5.697198011742557,8.939434957526556,0.416,0.860655737704918,37.84819813133103,0.7756117466875915,0.007874015748031496,51,220.0,122.0,13.0,2.6771694942269733,2.3529903968924373,3.5108275979513337,6.0890978726506555,0.6818181818181818,1.0,33.785438124381855,0.7760971343012277,0.00819672131147541,51,249.0,116.0,29.0,2.2924134568361296,2.737746434283281,2.0262213766309287,3.8107291630917643,0.9080459770114943,1.0,31.920457083239665,0.7769922379919295,0.008849557522123894
cec2017_f16,16,10,1600.0,51,0.01592565316400396,0.34039476871043917,0.35527427905822595,0.7476697821252856,5.340394768710439,5.0,median(final_error)+margin,5.0,51,298.0,106.0,1.0,4.678978875374696,0.661415893335743,22.676121661550496,42.57277541399149,0.07692307692307693,0.2,115.58515726106813,0.7571359385802869,0.009433962264150943,51,341.0,99.0,5.0,3.5279273208157065,1.8124674478947327,11.89953652067652,21.756260990791407,0.22826086956521738,0.4175824175824176,113.77926561024927,0.7432977796057828,0.010101010101010102,51,371.0,93.0,10.0,3.1079013454677806,2.2324934232426585,8.165859105905952,16.78436049758402,0.34444444444444444,0.5679012345679012,110.14082965191281,0.7339179526865073,0.010752688172043012,51,408.0,88.0,23.0,2.6446354919664827,2.6957592767439564,4.599051484825395,11.38216860461721,0.5285714285714286,0.7272727272727273,102.56850205877699,0.7477222550058016,0.011363636363636364
cec2017_f17,17,10,1700.0,51,0.0050460379693504365,0.07693975749657511,0.17244832210034403,1.038075851874055,5.076939757496575,5.0,median(final_error)+margin,5.0,51,533.0,70.0,1.0,4.645732578205752,0.43120717929082275,7.763644119562628,12.330261611890684,0.23529411764705882,0.6710526315789473,114.00613900824261,0.6767137078880855,0.014285714285714285,51,572.0,66.0,5.0,3.277514703273482,1.799425054223093,4.3299931794313125,7.631895394127287,0.576271186440678,0.9206349206349206,101.66539393462924,0.6792166010865817,0.015151515151515152,51,579.0,65.0,7.0,2.920621640278796,2.156318117217779,3.644560110029488,6.70368804807372,0.6481481481481481,0.9523809523809523,103.67164598857093,0.6897449477500188,0.015384615384615385,51,607.0,62.0,16.0,2.185067345572179,2.891872411924396,2.6234779855906254,4.736000019973926,0.8157894736842105,1.0,104.24477751477922,0.6604944062945601,0.016129032258064516
cec2017_f18,18,10,1800.0,51,0.00014355927373799204,0.3648002764653029,0.6577587497162286,20.149767420680746,5.364800276465303,5.0,median(final_error)+margin,5.0,50,327.0,101.0,1.0,4.523689688384138,0.8411105880811647,8.813218591400982,12.722473883066119,0.16262626262626262,0.6012702893436839,29.08974174988122,0.6793978874468245,0.03,50,362.0,95.0,5.0,3.69094377725105,1.6738564992142528,3.980506668972623,6.248427955545437,0.6505028735632183,0.9886348960351286,22.267896255624954,0.7053397009580669,0.07723836899819014,50,370.5,93.5,10.0,2.917642234010259,2.447158042455044,2.975736092552779,5.191917852797497,0.7777777777777778,1.0,21.560108844077025,0.7141653012477511,0.09092083171897197,50,379.5,92.0,24.0,2.2681048456271355,3.0966954308381673,1.8583300640149787,3.412774455176214,0.9334650856389988,1.0,20.263964783418224,0.6756383021358024,0.1257183908045977
cec2017_f19,19,10,1900.0,51,7.9935921348806e-07,0.009729785361287213,0.010518388391217598,0.13409051441954034,5.009729785361287,5.0,median(final_error)+margin,5.0,51,159.0,136.0,1.0,4.752072303972682,0.25765748138860545,6.093998050926075,8.71655871228154,0.35555555555555557,0.8913043478260869,136.68417423141318,0.7616991209797643,0.007352941176470588,51,198.0,127.0,5.0,3.8161382701985076,1.1935915151627796,3.1755910143323263,4.81237743536758,0.8181818181818182,1.0,130.70123912722485,0.7613341049059564,0.007874015748031496,51,228.0,120.0,13.0,3.2679651097273563,1.741764675633931,2.0808764856551534,3.366195585205924,0.9906542056074766,1.0,127.2992585971487,0.7613082182586388,0.008333333333333333,51,259.0,114.0,29.0,2.7119020963705225,2.2978276889907647,1.3269457576946024,2.3678874198784343,1.0,1.0,123.3132312619741,0.7420675088462707,0.008771929824561403
cec2017_f20,20,10,2000.0,51,2.5455132345086895e-05,2.5455133481955272e-05,3.348875615230616e-05,0.00030956815930949233,5.000025455133482,5.0,median(final_error)+margin,5.0,51,465.0,79.0,1.0,4.5846161774959455,0.41540927763753643,5.54723336425036,7.627578604345673,0.3924050632911392,0.9473684210526315,103.83117266962988,0.6033415987057436,0.01282051282051282,51,504.0,74.0,5.0,3.5818180657179255,1.4182073894155565,3.192133140554688,4.666368973981162,0.8513513513513513,1.0,104.65407470690195,0.6185207209280511,0.0136986301369863,51,514.0,73.0,8.0,3.237216517247134,1.7628089378863478,2.5733718023791425,4.053803003309759,0.921875,1.0,103.43330439996112,0.6340010274074042,0.0136986301369863,51,535.0,70.0,18.0,2.583337940037154,2.416687515096328,1.7465829152417882,2.9655725584899755,1.0,1.0,104.15729132433567,0.5918612648867937,0.014492753623188406
cec2017_f21,21,10,2100.0,51,100.0,114.4580301579008,148.1938369169373,205.14658920480633,119.4580301579008,5.0,median(final_error)+margin,5.0,27,140.0,140.0,1.0,117.44695147930452,2.0110786785962773,119.31845352041682,139.10439186974128,0.00625,0.013513513513513514,255.08034577076077,0.876513829456511,0.007142857142857143,22,112.0,147.5,5.0,110.1374865202331,9.320543637667697,61.14326999590571,120.7928082083634,0.03108795965938823,0.06779970760233918,241.96572939470678,0.7092616303062105,0.006779738922596066,27,153.0,137.0,15.0,107.60115893332568,11.856871224575116,28.841690441232004,87.27276619745153,0.072,0.17557251908396945,141.51820293090316,0.7812262566318277,0.0072992700729927005,27,160.0,136.0,38.0,106.3218404105587,13.136189747342087,17.80069632956929,51.306369810357864,0.14432989690721648,0.3142857142857143,116.31955430136486,0.7974055782687732,0.007352941176470588
cec2017_f22,22,10,2200.0,51,0.0,100.00000000000045,96.0784313725493,100.00000000000045,105.00000000000045,5.0,median(final_error)+margin,5.0,51,84.0,155.0,1.0,104.27379356318443,0.7262064368160281,5.171322150729111,5.82659576787737,0.4258064516129032,1.0,3.754773780590378,0.7980455492003936,0.9743589743589743,51,96.0,152.0,5.0,103.30320827970672,1.6967917202937315,3.7582854020142804,4.843125528226574,0.8513513513513513,1.0,3.2465370669816305,0.7844960272253292,0.9869281045751634,51,109.0,148.0,15.0,102.52161566677069,2.4783843332297693,2.680696629006434,3.933709866005029,0.9849624060150376,1.0,2.860415948568691,0.7843036119931761,1.0,51,124.0,144.0,38.0,101.99235185003954,3.0076481499609145,1.744303723025041,2.8177007926246014,1.0,1.0,2.5878120477797224,0.7678280622732978,1.0
cec2017_f23,23,10,2300.0,51,300.0190035105352,304.1139358335331,303.8186426383908,306.2920220108431,309.1139358335331,5.0,median(final_error)+margin,5.0,51,305.0,105.0,1.0,308.6991274147558,0.4148084187772838,15.68317274309993,21.952079373075502,0.061855670103092786,0.24299065420560748,65.2148573486404,0.8321572735387662,0.009615384615384616,51,430.0,84.0,5.0,306.8639983123012,2.2499375212319137,7.664990552208565,12.139966289347104,0.2716049382716049,0.6623376623376623,60.53694443468782,0.8444351779669501,0.012048192771084338,51,472.0,78.0,8.0,306.2506140359201,2.8633217976130254,5.974215551376801,9.49525767835421,0.39436619718309857,0.8333333333333334,59.515517956979494,0.8490452526545148,0.012987012987012988,51,601.0,62.0,16.0,305.21569989525915,3.898235938273956,3.3371244325167027,5.357975664915102,0.7659574468085106,1.0,56.5835343676721,0.857383758365009,0.01639344262295082
cec2017_f24,24,10,2400.0,51,4.547473508864641e-13,331.70089914285336,296.69910843426237,333.92717534347,336.70089914285336,5.0,median(final_error)+margin,5.0,51,305.0,105.0,1.0,336.3404371305146,0.36046201233875763,16.723438803244335,24.379677434219246,0.05714285714285714,0.19387755102040816,64.11890917152473,0.837216455693345,0.009523809523809525,51,462.0,80.0,5.0,334.0140150720017,2.6868840708516473,8.350749035179433,12.979957633173944,0.24390243902439024,0.6119402985074627,61.757658518538655,0.8500930310862955,0.012658227848101266,51,532.0,70.0,7.0,333.22477030252185,3.476128840331512,6.22101439917833,9.929346510092275,0.4027777777777778,0.8,60.037775568555794,0.8600050129957657,0.014285714285714285,51,657.0,56.0,14.0,332.0686634923354,4.632235650517941,3.102908657313492,4.760693545580125,0.8333333333333334,1.0,55.268780821547985,0.8635830443580602,0.01818181818181818
cec2017_f25,25,10,2500.0,51,398.00898944057735,398.00898944057735,407.937771904597,445.8019689817729,403.00898944057735,5.0,median(final_error)+margin,5.0,40,67.0,160.0,1.0,402.46462241863196,0.5443670219453907,13.121919115305673,21.31209172348013,0.0949367088607595,0.36146723646723644,22.934670448843384,0.7342344071147544,0.006289308176100629,40,72.0,158.0,6.0,401.4192993877866,1.5896900527907292,6.384871894936168,10.672853136440882,0.38235294117647056,0.7540849673202614,17.39395810922999,0.7446658951092497,0.0063898415809243835,40,75.0,157.0,18.5,400.7047772127555,2.3042122278218358,3.626047275400424,6.566644426263521,0.6559095580678315,0.9428542272564927,15.00421707068864,0.7334671049158338,0.0189873417721519,40,77.5,157.0,45.0,400.17600295072293,2.83298648985442,2.1102686542062656,4.224425520562409,0.8617482161060144,0.9913036902601331,13.084435063399008,0.7437870336846857,0.03194920790462191
cec2017_f26,26,10,2600.0,51,300.0,300.0,300.0,300.00000000000045,305.0,5.0,median(final_error)+margin,5.0,51,75.0,157.0,1.0,304.6059370566318,0.3940629433682261,6.926683465293536,9.942285587647167,0.28662420382165604,0.8129032258064516,5.708827181294425,0.8110167475712134,0.6305732484076433,51,79.0,156.0,6.0,303.8361908472275,1.163809152772501,3.8640127493104046,5.906194389771736,0.6754966887417219,0.9865771812080537,4.46063465262519,0.8240654301293119,0.9166666666666666,51,81.0,156.0,19.0,303.15358143382673,1.84641856617327,2.302842170108306,3.779267305895428,0.920863309352518,1.0,3.63242563129872,0.8224054144700146,0.9935483870967742,51,83.0,155.0,47.0,302.5179487265236,2.4820512734763724,1.315319311967869,2.475150735292573,0.9903846153846154,1.0,3.03019969289786,0.8331791381663151,1.0
cec2017_f27,27,10,2700.0,51,389.0054448130272,389.51790623096986,389.4576166523883,389.51790623096986,394.51790623096986,5.0,median(final_error)+margin,5.0,51,55.0,163.0,1.0,394.0922515462321,0.4256546847377649,6.839576333319201,9.026005659546446,0.2360248447204969,0.9012345679012346,41.97985544755991,0.7035361972842437,0.006134969325153374,51,69.0,159.0,5.0,392.9623103208455,1.5555959101243388,4.5081473211944285,6.3571477917967965,0.5909090909090909,1.0,30.592472673952944,0.7278545785122049,0.006289308176100629,51,80.0,156.0,17.0,392.1887182036012,2.329188027368673,2.879240677971893,4.56920953665458,0.8444444444444444,1.0,24.848093235001365,0.7257727709017182,0.006535947712418301,51,88.0,154.0,40.0,391.4934338726821,3.024472358287767,1.8439920180744593,3.3650331514565552,0.9478260869565217,1.0,21.011840896392595,0.7205761457690169,0.0196078431372549
cec2017_f28,28,10,2800.0,51,300.0,300.0,347.2609847486024,611.8216658800402,305.0,5.0,median(final_error)+margin,5.0,43,117.0,146.0,1.0,304.4287240687654,0.5712759312345952,5.332948346175726,7.585227270983069,0.44666666666666666,0.9361702127659575,3.7869684150061493,0.826025557195658,0.9863013698630136,43,121.0,145.0,6.0,303.7767242862519,1.2232757137480803,3.151733946549939,4.8902205976150075,0.8115942028985508,1.0,2.978052034766517,0.8326216827776522,1.0,43,123.0,145.0,19.0,303.1366734156786,1.8633265843213849,2.0970114632245895,3.385582963657453,0.9618320610687023,1.0,2.496188697592288,0.839497876568464,1.0,43,125.0,144.0,46.0,302.582634374387,2.4173656256130016,1.2149323042931428,2.2891391636811935,1.0,1.0,2.153311021169741,0.8382885563596049,1.0
cec2017_f29,29,10,2900.0,51,228.36825608510662,234.3219316455543,235.16880460439353,249.01163542775294,239.3219316455543,5.0,median(final_error)+margin,5.0,47,580.0,65.0,1.0,238.86205443033077,0.4598772152235142,16.347938567356323,22.843673625143584,0.06666666666666667,0.208955223880597,98.91474969186017,0.7732960275363284,0.016129032258064516,30,854.5,39.5,5.0,235.77740126829963,3.5445303772546595,6.6184528458339855,9.792736979702433,0.37103174603174605,0.8166666666666667,92.41655705035356,0.76097384292438,0.0304147465437788,47,989.0,31.0,4.0,236.033413868985,3.288517776569279,6.748841499128957,10.770322183888311,0.3333333333333333,0.7407407407407407,94.27546131289462,0.7746533202270687,0.03333333333333333,47,1233.0,20.0,5.0,235.1746885817206,4.147243063833685,3.9107989337976505,5.0474126171575335,0.7916666666666666,1.0,91.23573770894623,0.7676542068101188,0.05
cec2017_f30,30,10,3000.0,51,394.0074138290847,394.0074138290847,408.4910516334866,463.64210130959145,399.0074138290847,5.0,median(final_error)+margin,5.0,37,219.0,122.0,1.0,398.69137721044626,0.31603661863846355,5.622810165130431,8.544346259999749,0.4180327868852459,0.8842975206611571,4.090416781434878,0.7340366866204218,0.9105691056910569,37,226.0,121.0,6.0,397.59011351477966,1.4173003143050664,3.255962202190858,5.022999365126452,0.7739130434782608,0.990909090909091,3.449422171476155,0.746204833716165,0.975,37,229.0,120.0,13.0,397.1256494213353,1.8817644077494151,2.2202670866538483,3.9262296949760658,0.9158878504672897,1.0,3.046067504125853,0.7584656225496199,0.9918032786885246,37,234.0,119.0,32.0,396.68293107067984,2.3244827584048835,1.3975096713438688,2.5204949444432714,0.9883720930232558,1.0,2.598604176087799,0.7402146897214443,1.0
